Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,11263.7,0,56:13.3,02:30.1,3.33,00:00.0,0,23,1096,10.3,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,348.6,0,02:16.8,03:21.6,2.48,00:00.0,0,20,43,8,0,---,---,---,---,---,---,---,---,---,---,52.2111847,0.1391394,,,,,,
1,357.9,0,02:20.0,03:03.1,2.73,00:00.0,0,19.5,44,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2112079,0.1392701,,,,,,
1,367.5,0,02:23.0,02:46.6,3,00:00.0,0,19.5,45,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2112351,0.1394028,,,,,,
1,378.1,0,02:26.2,02:35.7,3.21,00:00.0,0,19.5,46,10.6,0,---,---,---,---,---,---,---,---,---,---,52.2112637,0.1395513,,,,,,
1,388.9,0,02:29.4,02:29.7,3.34,00:00.0,0,19,47,10.8,0,---,---,---,---,---,---,---,---,---,---,52.2112887,0.1397042,,,,,,
1,399.4,0,02:32.4,02:26.1,3.42,00:00.0,0,19.5,48,10.6,0,---,---,---,---,---,---,---,---,---,---,52.211313,0.1398537,,,,,,
1,410.6,0,02:35.6,02:24.0,3.47,00:00.0,0,19.5,49,11.1,0,---,---,---,---,---,---,---,---,---,---,52.2113413,0.1400103,,,,,,
1,419.9,0,02:38.4,02:26.1,3.42,00:00.0,0,20.5,50,9.4,0,---,---,---,---,---,---,---,---,---,---,52.2113576,0.1401449,,,,,,
1,428.4,0,02:41.2,02:34.3,3.24,00:00.0,0,21,51,8.4,0,---,---,---,---,---,---,---,---,---,---,52.2113884,0.1402593,,,,,,
1,436.7,0,02:44.0,02:43.3,3.06,00:00.0,0,21,52,8.4,0,---,---,---,---,---,---,---,---,---,---,52.2114173,0.1403725,,,,,,
