Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4342.4,0,20:25.9,02:21.2,3.54,00:00.0,0,30.5,526,8.3,0,153,---,---,---,---,---,---,---,---,---,52.236077,0.1735645
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,378.4,0,01:20.8,01:51.1,4.5,00:00.0,0,38.5,54,7,0,177,---,---,---,---,---,---,---,---,---,52.2330703,0.1713718
1,384.8,0,01:22.4,01:51.1,4.5,00:00.0,0,37,55,6.4,0,177,---,---,---,---,---,---,---,---,---,52.2330137,0.1713575
1,392.7,0,01:24.0,01:48.4,4.61,00:00.0,0,37,56,8,0,177,---,---,---,---,---,---,---,---,---,52.2329431,0.1713399
1,399.2,0,01:25.5,01:50.1,4.54,00:00.0,0,37,57,6.5,0,177,---,---,---,---,---,---,---,---,---,52.2328852,0.1713321
1,407.2,0,01:27.2,01:49.8,4.55,00:00.0,0,38.5,58,8,0,177,---,---,---,---,---,---,---,---,---,52.2328137,0.1713167
1,414.5,0,01:28.8,01:48.9,4.59,00:00.0,0,37,59,7.2,0,177,---,---,---,---,---,---,---,---,---,52.2327494,0.1713013
1,421.6,0,01:30.4,01:50.1,4.54,00:00.0,0,38.5,60,7.1,0,177,---,---,---,---,---,---,---,---,---,52.232686,0.1712862
1,428.8,0,01:32.0,01:49.8,4.55,00:00.0,0,37,61,7.2,0,177,---,---,---,---,---,---,---,---,---,52.2326214,0.1712738
1,436.1,0,01:33.6,01:50.6,4.52,00:00.0,0,37,62,7.2,0,178,---,---,---,---,---,---,---,---,---,52.2325571,0.1712596
1,443.4,0,01:35.2,01:51.1,4.5,00:00.0,0,37,63,7.3,0,177,---,---,---,---,---,---,---,---,---,52.2324915,0.1712517
1,451.9,0,01:37.0,01:48.4,4.61,00:00.0,0,35,64,8.5,0,177,---,---,---,---,---,---,---,---,---,52.2324159,0.171231
1,459.3,0,01:38.5,01:44.8,4.77,00:00.0,0,37,65,7.4,0,177,---,---,---,---,---,---,---,---,---,52.2323503,0.1712119
1,466.4,0,01:40.4,01:42.4,4.88,00:00.0,0,37,66,7.1,0,177,---,---,---,---,---,---,---,---,---,52.2322875,0.1711976
1,473.1,0,01:41.8,01:45.2,4.75,00:00.0,0,37,67,6.8,0,177,---,---,---,---,---,---,---,---,---,52.2322309,0.1711599
1,479.4,0,01:43.4,01:52.8,4.43,00:00.0,0,37,68,6.3,0,177,---,---,---,---,---,---,---,---,---,52.232175,0.1711477
1,486.9,0,01:45.0,01:54.4,4.37,00:00.0,0,37,69,7.5,0,177,---,---,---,---,---,---,---,---,---,52.23211,0.1711179
1,494,0,01:46.6,01:54.4,4.37,00:00.0,0,37,70,7.1,0,177,---,---,---,---,---,---,---,---,---,52.2320468,0.1711025
1,501.8,0,01:48.4,01:52.6,4.44,00:00.0,0,37,71,7.7,0,177,---,---,---,---,---,---,---,---,---,52.2319781,0.1710856
1,508.6,0,01:50.0,01:51.8,4.47,00:00.0,0,35.5,72,6.9,0,177,---,---,---,---,---,---,---,---,---,52.2319171,0.1710697
1,515.6,0,01:51.6,01:53.6,4.4,00:00.0,0,36.5,73,7,0,177,---,---,---,---,---,---,---,---,---,52.2318556,0.1710522
