Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,8200.2,0,40:52.3,02:29.7,3.34,00:00.0,0,28,879,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2105662,0.1326208
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,737.5,0,03:51.9,02:39.7,3.13,00:00.0,0,16.5,44,11.6,0,---,---,---,---,---,---,---,---,---,---,52.213373,0.1428358
1,758,0,03:58.5,02:39.7,3.13,00:00.0,0,9,45,20.6,0,---,---,---,---,---,---,---,---,---,---,52.2135442,0.1429475
1,767.4,0,04:02.0,02:50.6,2.93,00:00.0,0,17,46,9.3,0,---,---,---,---,---,---,---,---,---,---,52.2136179,0.1430121
1,789.6,0,04:08.6,02:53.0,2.89,00:00.0,0,9,47,22.3,0,---,---,---,---,---,---,---,---,---,---,52.213796,0.1431602
1,801.8,0,04:12.2,02:39.7,3.13,00:00.0,0,16,48,12.1,0,---,---,---,---,---,---,---,---,---,---,52.2138934,0.1432399
1,828.7,0,04:21.5,02:56.6,2.83,00:00.0,0,37,49,27,0,---,---,---,---,---,---,---,---,---,---,52.2141631,0.1434976
1,833.8,0,04:23.3,03:01.8,2.75,00:00.0,0,29.5,50,5.1,0,---,---,---,---,---,---,---,---,---,---,52.214202,0.143536
1,861.8,0,04:32.7,02:59.2,2.79,00:00.0,0,36,51,28,0,---,---,---,---,---,---,---,---,---,---,52.214456,0.1438321
1,867.5,0,04:34.3,02:53.6,2.88,00:00.0,0,29.5,52,5.7,0,---,---,---,---,---,---,---,---,---,---,52.2144978,0.1438808
1,902.6,0,04:45.8,02:42.3,3.08,00:00.0,0,16.5,53,35.1,0,---,---,---,---,---,---,---,---,---,---,52.2147566,0.1442162
1,925.6,0,04:53.3,02:43.9,3.05,00:00.0,0,8,54,23,0,---,---,---,---,---,---,---,---,---,---,52.2149003,0.1444589
1,937.5,0,04:57.0,02:42.3,3.08,00:00.0,0,16.5,55,11.9,0,---,---,---,---,---,---,---,---,---,---,52.2149713,0.1445882
1,955.4,0,05:02.6,02:39.2,3.14,00:00.0,0,10.5,56,17.9,0,---,---,---,---,---,---,---,---,---,---,52.2150897,0.1447658
1,967.1,0,05:06.2,02:36.2,3.2,00:00.0,0,16.5,57,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2151696,0.1448773
1,982.3,0,05:11.2,02:37.7,3.17,00:00.0,0,12,58,15.2,0,---,---,---,---,---,---,---,---,---,---,52.2152808,0.1450071
1,993.3,0,05:14.4,02:39.7,3.13,00:00.0,0,17,59,10.9,0,---,---,---,---,---,---,---,---,---,---,52.215367,0.1450836
1,1010,0,05:19.6,02:38.7,3.15,00:00.0,0,12,60,16.7,0,---,---,---,---,---,---,---,---,---,---,52.2155079,0.1451689
1,1021.2,0,05:23.2,02:36.7,3.19,00:00.0,0,17,61,11.2,0,---,---,---,---,---,---,---,---,---,---,52.2156058,0.1452088
1,1036.6,0,05:28.0,02:40.2,3.12,00:00.0,0,12,62,15.4,0,---,---,---,---,---,---,---,---,---,---,52.2157409,0.145257
1,1048.8,0,05:31.6,02:38.2,3.16,00:00.0,0,17,63,12.2,0,---,---,---,---,---,---,---,---,---,---,52.2158482,0.1452926
1,1071.7,0,05:38.8,02:36.7,3.19,00:00.0,0,8.5,64,22.8,0,---,---,---,---,---,---,---,---,---,---,52.2160504,0.1453477
1,1083,0,05:42.4,02:43.3,3.06,00:00.0,0,16.5,65,11.3,0,---,---,---,---,---,---,---,---,---,---,52.2161492,0.145387
1,1095.4,0,05:46.0,02:39.7,3.13,00:00.0,0,17,66,12.4,0,---,---,---,---,---,---,---,---,---,---,52.2162601,0.1454081
1,1106.5,0,05:49.4,02:34.7,3.23,00:00.0,0,16.5,67,11.1,0,---,---,---,---,---,---,---,---,---,---,52.2163595,0.1454052
1,1118.2,0,05:53.2,02:34.3,3.24,00:00.0,0,17,68,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2164646,0.1453906
1,1130.9,0,05:56.6,02:29.2,3.35,00:00.0,0,17,69,12.7,0,---,---,---,---,---,---,---,---,---,---,52.2165787,0.1454004
1,1143.7,0,06:00.0,02:23.2,3.49,00:00.0,0,17,70,12.8,0,---,---,---,---,---,---,---,---,---,---,52.2166914,0.145434
1,1156.6,0,06:03.6,02:19.2,3.59,00:00.0,0,17.5,71,12.9,0,---,---,---,---,---,---,---,---,---,---,52.2168038,0.1454815
1,1169.1,0,06:07.0,02:20.0,3.57,00:00.0,0,17,72,12.5,0,---,---,---,---,---,---,---,---,---,---,52.2169114,0.1455327
1,1180.8,0,06:10.6,02:28.3,3.37,00:00.0,0,17,73,11.7,0,---,---,---,---,---,---,---,---,---,---,52.2170057,0.1456075
1,1193.6,0,06:14.2,02:29.2,3.35,00:00.0,0,17,74,12.8,0,---,---,---,---,---,---,---,---,---,---,52.2171149,0.1456677
1,1206.1,0,06:17.4,02:21.6,3.53,00:00.0,0,17.5,75,12.5,0,---,---,---,---,---,---,---,---,---,---,52.2172169,0.145745
1,1218.7,0,06:21.0,02:21.6,3.53,00:00.0,0,17,76,12.6,0,---,---,---,---,---,---,---,---,---,---,52.2173125,0.1458427
1,1230.6,0,06:24.6,02:27.0,3.4,00:00.0,0,16.5,77,12,0,---,---,---,---,---,---,---,---,---,---,52.2173893,0.1459658
1,1242.6,0,06:28.2,02:38.2,3.16,00:00.0,0,17,78,11.9,0,---,---,---,---,---,---,---,---,---,---,52.2174493,0.146112
1,1255.1,0,06:31.6,02:33.8,3.25,00:00.0,0,17,79,12.5,0,---,---,---,---,---,---,---,---,---,---,52.2175139,0.1462621
1,1267.9,0,06:35.2,02:22.8,3.5,00:00.0,0,16.5,80,12.8,0,---,---,---,---,---,---,---,---,---,---,52.21757,0.1464258
1,1281.5,0,06:38.6,02:18.1,3.62,00:00.0,0,16.5,81,13.6,0,---,---,---,---,---,---,---,---,---,---,52.2176175,0.1466099
1,1294.8,0,06:42.2,02:15.5,3.69,00:00.0,0,17,82,13.3,0,---,---,---,---,---,---,---,---,---,---,52.2176557,0.1467953
1,1307.5,0,06:45.6,02:17.3,3.64,00:00.0,0,17.5,83,12.7,0,---,---,---,---,---,---,---,---,---,---,52.2176932,0.1469703
1,1320.8,0,06:49.2,02:17.3,3.64,00:00.0,0,17,84,13.3,0,---,---,---,---,---,---,---,---,---,---,52.2177303,0.1471562
1,1333.6,0,06:52.6,02:16.6,3.66,00:00.0,0,17,85,12.8,0,---,---,---,---,---,---,---,---,---,---,52.2177641,0.1473358
1,1346.4,0,06:56.2,02:16.6,3.66,00:00.0,0,17,86,12.7,0,---,---,---,---,---,---,---,---,---,---,52.2177986,0.1475139
1,1372.7,0,07:05.2,04:02.7,2.06,00:00.0,0,43,87,26.3,0,---,---,---,---,---,---,---,---,---,---,52.2180616,0.1489898
1,1373.4,0,07:06.4,17:00.4,0.49,00:00.0,0,45,88,0.8,0,---,---,---,---,---,---,---,---,---,---,52.2180657,0.1489986
1,1374.2,0,07:07.6,13:13.6,0.63,00:00.0,0,46.5,89,0.7,0,---,---,---,---,---,---,---,---,---,---,52.2180694,0.1490075
1,1375.4,0,07:09.0,11:15.6,0.74,00:00.0,0,46.5,90,1.2,0,---,---,---,---,---,---,---,---,---,---,52.2180756,0.1490226
1,1376.5,0,07:10.2,10:02.4,0.83,00:00.0,0,46.5,91,1.1,0,---,---,---,---,---,---,---,---,---,---,52.2180815,0.1490352
1,1377.8,0,07:11.6,09:21.7,0.89,00:00.0,0,45.5,92,1.4,0,---,---,---,---,---,---,---,---,---,---,52.2180887,0.1490517
1,1379.3,0,07:13.0,08:35.4,0.97,00:00.0,0,46,93,1.5,0,---,---,---,---,---,---,---,---,---,---,52.2180959,0.1490698
1,1380.9,0,07:14.4,07:56.1,1.05,00:00.0,0,42.5,94,1.6,0,---,---,---,---,---,---,---,---,---,---,52.2181046,0.1490886
1,1382.5,0,07:15.8,07:38.7,1.09,00:00.0,0,41,95,1.6,0,---,---,---,---,---,---,---,---,---,---,52.2181123,0.1491082
1,1384.2,0,07:17.2,07:22.4,1.13,00:00.0,0,43.5,96,1.7,0,---,---,---,---,---,---,---,---,---,---,52.2181207,0.1491289
1,1386,0,07:18.6,07:03.7,1.18,00:00.0,0,44,97,1.8,0,---,---,---,---,---,---,---,---,---,---,52.2181295,0.1491505
1,1387.5,0,07:19.8,06:43.2,1.24,00:00.0,0,43,98,1.5,0,---,---,---,---,---,---,---,---,---,---,52.2181373,0.1491692
1,1389.3,0,07:21.2,06:30.6,1.28,00:00.0,0,43.5,99,1.8,0,---,---,---,---,---,---,---,---,---,---,52.2181459,0.1491918
1,1390.9,0,07:22.6,06:21.6,1.31,00:00.0,0,43.5,100,1.6,0,---,---,---,---,---,---,---,---,---,---,52.2181543,0.149211
1,1393.1,0,07:24.0,06:10.3,1.35,00:00.0,0,44.5,101,2.2,0,---,---,---,---,---,---,---,---,---,---,52.2181653,0.1492374
